user_id,product_id,action,timestamp,device,category,session_duration,price
U360,P088,view,2026-04-01 00:00:00,desktop,beauty,85,304.13
U079,P002,click,2026-04-01 00:00:00,mobile,clothing,562,273.35
U208,P072,click,2026-04-01 00:01:00,desktop,beauty,280,477.26
U343,P096,click,2026-04-01 00:02:00,tablet,clothing,475,238.9
U354,P014,add_to_cart,2026-04-01 00:03:00,mobile,home,570,54.71
U029,P027,view,2026-04-01 00:03:00,tablet,beauty,269,155.23
U169,P012,click,2026-04-01 00:03:00,tablet,beauty,495,176.41
U390,P082,view,2026-04-01 00:05:00,mobile,clothing,302,400.33
U082,P050,view,2026-04-01 00:05:00,mobile,electronics,39,24.3
U031,P098,click,2026-04-01 00:05:00,desktop,electronics,173,373.55
U413,P072,view,2026-04-01 00:07:00,mobile,home,307,351.89
U260,P069,view,2026-04-01 00:08:00,tablet,beauty,91,78.83
U391,P066,view,2026-04-01 00:08:00,desktop,home,50,283.26
U151,P071,add_to_cart,2026-04-01 00:09:00,mobile,electronics,554,127.75
U471,P090,view,2026-04-01 00:09:00,tablet,clothing,179,434.63
U006,P080,view,2026-04-01 00:09:00,desktop,clothing,198,362.12
U345,P023,view,2026-04-01 00:10:00,tablet,home,121,448.04
U062,P088,view,2026-04-01 00:10:00,mobile,home,241,61.62
U411,P075,click,2026-04-01 00:13:00,mobile,home,583,407.24
U386,P002,click,2026-04-01 00:15:00,tablet,home,246,53.23
U291,P045,click,2026-04-01 00:15:00,tablet,electronics,482,379.98
U154,P027,add_to_cart,2026-04-01 00:16:00,mobile,electronics,589,305.12
U161,P030,view,2026-04-01 00:17:00,tablet,home,177,198.36
U224,P055,click,2026-04-01 00:17:00,mobile,beauty,416,272.45
U376,P059,click,2026-04-01 00:18:00,tablet,electronics,199,106.75
U280,P097,click,2026-04-01 00:21:00,desktop,electronics,32,269.01
U146,P054,add_to_cart,2026-04-01 00:24:00,mobile,electronics,492,115.89
U411,P076,view,2026-04-01 00:26:00,desktop,clothing,134,252.87
U235,P054,click,2026-04-01 00:26:00,mobile,electronics,593,484.98
U092,P046,click,2026-04-01 00:26:00,tablet,electronics,449,497.4
U090,P078,view,2026-04-01 00:26:00,tablet,home,19,158.03
U008,P055,click,2026-04-01 00:26:00,tablet,home,560,346.29
U189,P037,click,2026-04-01 00:26:00,desktop,clothing,370,49.77
U062,P062,view,2026-04-01 00:26:00,desktop,home,204,400.59
U394,P004,view,2026-04-01 00:26:00,tablet,home,257,392.86
U219,P040,view,2026-04-01 00:28:00,mobile,clothing,366,187.05
U366,P014,click,2026-04-01 00:31:00,tablet,clothing,380,48.76
U244,P023,view,2026-04-01 00:32:00,tablet,home,215,39.7
U296,P033,view,2026-04-01 00:32:00,tablet,clothing,479,437.31
U068,P019,click,2026-04-01 00:33:00,desktop,electronics,229,366.41
U212,P017,add_to_cart,2026-04-01 00:35:00,desktop,clothing,410,218.46
U395,P068,click,2026-04-01 00:36:00,tablet,clothing,417,167.36
U237,P071,click,2026-04-01 00:37:00,desktop,home,575,370.84
U260,P027,click,2026-04-01 00:37:00,mobile,beauty,586,304.11
U117,P031,view,2026-04-01 00:38:00,tablet,electronics,260,496.96
U234,P017,view,2026-04-01 00:39:00,mobile,beauty,127,164.43
U017,P100,add_to_cart,2026-04-01 00:39:00,desktop,clothing,458,35.47
U237,P005,add_to_cart,2026-04-01 00:40:00,mobile,electronics,378,52.28
U500,P016,click,2026-04-01 00:40:00,desktop,electronics,292,414.55
U451,P021,click,2026-04-01 00:45:00,desktop,clothing,205,56.11
U070,P008,click,2026-04-01 00:47:00,tablet,clothing,416,96.55
U135,P093,click,2026-04-01 00:49:00,mobile,home,500,219.05
U133,P055,view,2026-04-01 00:50:00,desktop,beauty,171,278.17
U255,P080,click,2026-04-01 00:51:00,tablet,clothing,429,53.38
U070,P062,view,2026-04-01 00:53:00,mobile,clothing,190,97.55
U230,P027,add_to_cart,2026-04-01 00:54:00,desktop,beauty,580,394.09
U398,P069,click,2026-04-01 00:54:00,tablet,beauty,356,20.39
U110,P058,click,2026-04-01 00:55:00,desktop,home,536,443.9
U463,P041,add_to_cart,2026-04-01 00:56:00,desktop,electronics,528,113.18
U312,P032,click,2026-04-01 00:57:00,mobile,home,588,293.42
U156,P071,view,2026-04-01 00:58:00,tablet,electronics,134,475.98
U083,P060,view,2026-04-01 00:58:00,mobile,clothing,172,382.97
U231,P038,view,2026-04-01 01:01:00,mobile,electronics,308,472.98
U365,P044,add_to_cart,2026-04-01 01:02:00,desktop,home,473,337.93
U177,P031,view,2026-04-01 01:02:00,tablet,beauty,439,329.88
U194,P068,click,2026-04-01 01:02:00,desktop,beauty,524,347.68
U107,P039,view,2026-04-01 01:03:00,tablet,beauty,205,25.94
U018,P074,add_to_cart,2026-04-01 01:05:00,desktop,electronics,361,16.93
U110,P057,view,2026-04-01 01:05:00,mobile,electronics,208,294.23
U059,P057,view,2026-04-01 01:06:00,desktop,clothing,218,393.1
U449,P034,click,2026-04-01 01:06:00,mobile,beauty,388,142.83
U116,P034,click,2026-04-01 01:06:00,mobile,electronics,582,379.03
U282,P076,click,2026-04-01 01:09:00,tablet,clothing,392,281.81
U033,P007,view,2026-04-01 01:10:00,tablet,clothing,259,330.74
U131,P093,click,2026-04-01 01:10:00,tablet,electronics,571,381.84
U188,P017,view,2026-04-01 01:11:00,mobile,beauty,239,468.52
U037,P073,view,2026-04-01 01:15:00,tablet,clothing,323,290.18
U309,P022,view,2026-04-01 01:15:00,desktop,home,44,359.97
U176,P085,view,2026-04-01 01:15:00,mobile,clothing,218,499.95
U381,P012,click,2026-04-01 01:15:00,tablet,electronics,338,210.67
U369,P061,click,2026-04-01 01:16:00,tablet,electronics,199,90.93
U164,P028,view,2026-04-01 01:21:00,tablet,home,378,449.83
U169,P020,view,2026-04-01 01:21:00,tablet,electronics,172,124.24
U389,P049,add_to_cart,2026-04-01 01:21:00,desktop,clothing,459,29.79
U152,P015,view,2026-04-01 01:22:00,desktop,home,140,271.89
U172,P016,view,2026-04-01 01:23:00,desktop,clothing,158,498.67
U439,P044,add_to_cart,2026-04-01 01:25:00,tablet,home,571,50.8
U333,P012,click,2026-04-01 01:25:00,desktop,electronics,391,420.02
U393,P073,click,2026-04-01 01:26:00,mobile,home,468,35.69
U146,P051,click,2026-04-01 01:27:00,mobile,electronics,455,94.63
U427,P066,view,2026-04-01 01:27:00,mobile,electronics,134,191.09
U480,P016,view,2026-04-01 01:28:00,mobile,beauty,409,370.09
U101,P097,view,2026-04-01 01:29:00,desktop,home,119,145.1
U220,P028,click,2026-04-01 01:29:00,mobile,electronics,228,275.6
U255,P046,view,2026-04-01 01:30:00,tablet,clothing,93,256.89
U044,P026,view,2026-04-01 01:30:00,mobile,beauty,107,27.28
U084,P072,add_to_cart,2026-04-01 01:32:00,mobile,electronics,389,167.41
U087,P055,add_to_cart,2026-04-01 01:32:00,desktop,clothing,415,16.08
U339,P080,view,2026-04-01 01:33:00,desktop,beauty,43,388.42
U083,P007,view,2026-04-01 01:33:00,mobile,beauty,55,111.67
U376,P056,view,2026-04-01 01:33:00,tablet,home,235,331.22
U194,P010,add_to_cart,2026-04-01 01:35:00,desktop,home,575,273.64
U136,P095,view,2026-04-01 01:35:00,desktop,beauty,53,37.63
U303,P082,click,2026-04-01 01:36:00,mobile,electronics,203,33.65
U413,P085,add_to_cart,2026-04-01 01:37:00,desktop,clothing,494,44.65
U077,P060,click,2026-04-01 01:37:00,desktop,clothing,233,418.83
U388,P003,click,2026-04-01 01:37:00,desktop,electronics,180,58.8
