javaProg,pythonProg,dataStructure,softwareAnalysisDesign,intelligenceSystemDev,peer1,peer2,peer3,peer4,peer5,peer6,peer7,peer8,peer9,peer10,peer_mean,peer_std,peer_mean_graph,FinalExam
10,7,8,10,6,10,9,5,7,10,5,10,7,6,10,7.9,2.0223748416156684,7.028067592190982,8.255857222488048
8,8,10,5,6,8,4,8,7,10,4,8,4,7,6,6.6,1.9595917942265424,7.013980577984476,6.945305885497911
10,6,6,8,7,6,10,8,5,7,8,8,6,10,4,7.2,1.8867962264113207,7.015174258973097,7.710650767732952
6,9,8,5,7,7,4,9,9,7,10,5,9,6,5,7.1,1.972308292331602,7.020453370932275,6.567641958234137
9,9,5,7,8,8,9,6,8,5,7,8,4,7,7,6.9,1.445683229480096,7.015353877274341,7.111569821553024
4,7,5,9,8,5,5,6,6,4,7,10,4,4,10,6.1,2.1656407827707715,7.042678690463092,5.757577732820403
7,4,4,6,6,10,10,5,4,4,8,10,10,6,6,7.3,2.4515301344262523,7.024550892945695,5.711534485490788
10,5,7,7,10,7,6,9,7,10,8,6,8,6,6,7.3,1.3453624047073711,7.028298749354109,8.014420589576595
9,9,10,9,6,8,4,4,4,9,4,6,10,5,8,6.2,2.227105745132009,7.013911614554898,8.247541468468226
7,10,7,4,6,10,5,10,9,5,7,4,9,10,6,7.5,2.247220505424423,7.02669552162576,6.98835296685528
8,6,10,8,4,4,4,5,7,4,10,10,8,8,4,6.4,2.3748684174075834,7.024941537782586,7.32228787237926
10,5,7,4,7,5,5,6,9,9,9,7,5,6,8,6.9,1.6401219466856727,7.008999994159167,6.9310068905926965
9,5,5,4,5,10,9,8,8,4,7,6,7,4,6,6.9,1.8681541692269403,7.011363629989671,6.39816253680628
8,5,7,7,10,6,5,7,7,5,8,4,7,5,10,6.4,1.6852299546352716,7.034834119055189,7.220555587038361
7,10,7,8,10,6,9,10,5,9,8,4,9,8,9,7.7,1.9000000000000001,7.023150178005016,7.982725214361744
6,9,4,7,5,6,6,6,6,5,6,10,6,10,5,6.6,1.7435595774162693,7.010797794352959,6.4454487888124765
7,5,9,9,9,6,8,8,7,8,4,4,4,5,8,6.2,1.7204650534085253,7.036964975981215,6.887460348556624
5,7,9,8,10,10,4,7,5,7,8,6,7,6,5,6.5,1.6278820596099706,7.019436614775043,7.202265430541475
5,5,7,5,5,7,7,9,5,5,4,8,7,7,10,6.9,1.7578395831246945,7.0284983980648565,5.19162779770234
9,7,9,10,10,5,5,8,5,6,6,9,6,6,8,6.4,1.3564659966250536,7.031610935125016,8.072263922250402
9,10,7,4,9,7,6,9,5,6,9,8,10,10,10,8.0,1.7888543819998317,7.045074619855647,7.8953074021910625
