qty_laptop_cart,qty_mobile_cart,spent_laptop_cart,spent_mobile_cart,orders_with_laptop,orders_with_mobile,spent_laptop_orders,spent_mobile_orders,has_both_in_cart,has_mixed_order,days_since_customer_created,recency_laptop,recency_mobile,label
1,1,20744935,7475626,2,3,39647598,18746010,1,1,451,60,59,both
5,1,94398990,11282653,0,0,0,0,1,0,567,37,51,both
3,3,55546170,30800925,2,0,51588214,0,1,0,95,69,54,both
5,3,76231230,33185688,0,2,0,14336290,1,0,539,50,41,both
1,1,21800533,11130859,2,3,30304366,24216039,1,1,189,82,1,both
2,5,30216232,55029160,3,0,70963674,0,1,0,183,12,63,both
5,5,94861070,48644475,0,3,0,26539653,1,0,726,25,46,both
3,5,38774460,42267330,3,0,44490066,0,1,0,669,37,89,both
5,5,97896015,53317115,1,2,23538788,13121966,1,1,398,18,57,both
0,0,0,0,0,0,0,0,0,0,262,59,70,mobile
0,3,0,29195349,0,1,0,11572407,0,0,688,7,58,mobile
5,1,124881990,7618082,1,1,14618003,10952180,1,1,755,33,17,both
1,3,17199723,22061853,1,0,14451036,0,1,0,281,49,56,both
0,0,0,0,0,0,0,0,0,0,670,25,13,mobile
0,5,0,35018800,0,3,0,32431533,0,0,88,62,81,mobile
3,4,69765498,25393692,3,2,49076712,14013272,1,1,775,10,82,both
4,4,68539392,27637812,2,3,29120944,21813993,1,1,526,24,73,both
1,4,22763905,21108816,1,0,23531365,0,1,0,644,89,7,both
4,0,91051280,0,1,0,21985697,0,0,0,342,5,88,laptop
1,5,14562594,39346190,1,3,18353223,38922246,1,1,73,43,58,both
3,1,56205465,5298709,3,2,61018224,19683386,1,1,285,50,45,both
1,1,24679486,9914376,2,2,42266972,17380290,1,1,114,53,2,both
5,0,72646920,0,3,0,50057229,0,0,0,149,8,8,laptop
5,5,107690920,37568575,2,2,35471812,14859614,1,1,441,57,66,both
1,5,21458678,25255575,0,1,0,6303140,1,0,731,54,28,both
0,1,0,6627658,0,2,0,17242496,0,0,489,75,49,mobile
0,5,0,40984185,0,3,0,33755373,0,0,463,51,24,mobile
5,3,123231375,25867584,2,2,29558764,23425460,1,1,377,17,26,both
3,4,71130846,29093856,1,0,25094720,0,1,0,571,13,48,both
0,4,0,34664200,0,0,0,0,0,0,518,74,53,mobile
1,5,17934015,31447285,0,0,0,0,1,0,389,53,7,both
4,4,54480820,31783624,2,1,46775766,8402497,1,1,310,69,60,both
1,4,22506920,33472792,0,3,0,35944374,1,0,335,55,64,both
5,4,120563440,42266600,1,0,24595401,0,1,0,355,45,42,both
2,4,48463116,41909208,1,3,17230616,31125396,1,1,481,38,23,both
5,1,92222170,11233477,1,1,21562298,10766171,1,1,241,14,70,both
5,0,67042620,0,1,0,15297175,0,0,0,165,28,36,laptop
3,2,56541147,23250948,3,3,49424808,35785764,1,1,52,89,5,both
0,0,0,0,0,0,0,0,0,0,546,87,60,mobile
2,4,34471760,27002560,3,3,63284271,26151981,1,1,212,55,14,both
2,3,41272220,15503913,2,1,48181648,7183324,1,1,323,58,49,both
0,1,0,6816123,0,3,0,29319960,0,0,72,57,9,mobile
5,5,106183260,43330285,0,3,0,23388786,1,0,57,21,34,both
1,0,17573944,0,3,0,72799908,0,0,0,688,46,73,laptop
1,4,17774880,46825344,2,3,49354548,35104110,1,1,276,23,83,both
3,2,52724868,15651896,0,1,0,8211675,1,0,481,51,44,both
5,5,117685755,48154585,3,1,50905941,6902667,1,1,712,40,56,both
5,5,71866010,43348680,0,1,0,9794544,1,0,786,11,78,both
5,0,65485490,0,1,0,16625847,0,0,0,748,11,6,laptop
0,2,0,22234648,0,1,0,7365844,0,0,107,1,3,mobile
2,4,42100208,33282416,2,2,32564760,16367160,1,1,638,42,14,both
3,1,48526980,6983584,0,2,0,18490072,1,0,546,56,29,both
2,5,28994822,39194000,0,0,0,0,1,0,565,12,81,both
0,4,0,27046044,0,0,0,0,0,0,760,87,6,mobile
5,0,96781785,0,2,0,49455476,0,0,0,35,11,84,laptop
0,5,0,46460485,0,2,0,15107152,0,0,334,18,51,mobile
2,2,49820194,11453342,0,3,0,19247514,1,0,652,23,73,both
3,3,38803296,27227778,2,1,34914694,10964694,1,1,696,85,82,both
2,1,28344192,10410940,3,1,62959938,9416111,1,1,676,31,43,both
0,5,0,46078935,0,2,0,20987340,0,0,616,12,4,mobile
0,0,0,0,0,0,0,0,0,0,360,76,83,mobile
1,5,17494374,53882765,1,2,21692344,24000668,1,1,308,55,1,both
3,5,60551766,35872995,3,0,64194915,0,1,0,671,30,38,both
0,3,0,16598931,0,3,0,20014191,0,0,675,75,22,mobile
0,3,0,20340999,0,3,0,19191660,0,0,691,61,22,mobile
4,4,77436712,21098772,1,1,19254114,12070684,1,1,462,32,21,both
3,1,67277550,7923949,3,3,54650289,20201475,1,1,557,4,50,both
5,0,104781210,0,0,0,0,0,0,0,51,57,6,laptop
1,3,12172651,34030680,3,3,59167944,34112217,1,1,410,44,40,both
4,3,66237048,23523414,1,1,25242442,6899249,1,1,348,13,77,both
1,4,17896860,27607212,1,2,17561766,19409884,1,1,366,18,60,both
1,0,21174045,0,0,0,0,0,0,0,497,43,29,laptop
2,3,24533442,16440933,1,3,14461582,32945772,1,1,426,27,60,both
0,2,0,15893918,0,3,0,24527409,0,0,93,26,29,mobile
0,0,0,0,0,0,0,0,0,0,411,12,82,mobile
5,3,68164760,27287568,3,3,57234816,34106562,1,1,274,82,80,both
0,0,0,0,0,0,0,0,0,0,529,66,72,mobile
2,2,30041114,17042952,1,3,15458134,31042902,1,1,69,15,3,both
4,5,48611876,38103950,3,3,39472155,24128448,1,1,412,69,27,both
3,5,74669643,53744025,1,1,21308725,7808490,1,1,346,78,72,both
2,0,41951668,0,1,0,20251740,0,0,0,600,60,42,laptop
1,1,17915401,6183413,1,0,15266542,0,1,0,156,63,13,both
5,0,107693860,0,1,0,19245337,0,0,0,294,90,64,laptop
0,5,0,42343055,0,2,0,22780660,0,0,467,35,78,mobile
1,4,19791852,28483788,3,3,41212170,33781710,1,1,697,61,10,both
0,3,0,35907237,0,1,0,6765489,0,0,718,61,69,mobile
1,5,16216838,58192725,1,2,13286757,13080712,1,1,110,2,18,both
3,3,74461686,26263515,1,2,13712089,15340330,1,1,795,67,61,both
1,4,20354856,42362444,1,2,23895704,12783132,1,1,668,47,2,both
3,1,55543392,6758926,3,2,56145621,23541580,1,1,700,27,36,both
0,2,0,17021968,0,2,0,14584594,0,0,596,55,58,mobile
3,5,47720832,53786315,3,1,46296903,9779345,1,1,40,27,23,both
0,5,0,50017110,0,0,0,0,0,0,214,46,23,mobile
1,1,21705984,8838621,2,1,28924634,6926332,1,1,162,37,18,both
0,3,0,33120486,0,2,0,14678316,0,0,615,29,16,mobile
1,0,19591523,0,0,0,0,0,0,0,560,67,25,laptop
1,5,19158295,26424580,2,1,42035048,10271384,1,1,321,14,72,both
4,1,96115612,7213751,0,3,0,27101016,1,0,799,6,76,both
0,1,0,10933724,0,3,0,30998355,0,0,783,84,52,mobile
2,0,39135878,0,2,0,34614392,0,0,0,346,47,16,laptop
0,0,0,0,0,0,0,0,0,0,581,23,67,mobile
4,1,73930928,6482533,3,3,40199991,38753094,1,1,350,49,3,both
1,0,23883698,0,2,0,30016530,0,0,0,692,30,53,laptop
5,3,83885740,16144839,0,2,0,19103524,1,0,300,31,72,both
3,2,55767786,14729996,1,3,19037939,31405479,1,1,403,46,67,both
5,0,61398840,0,0,0,0,0,0,0,416,15,90,laptop
5,3,73923195,32130504,1,3,22141771,22603629,1,1,551,27,65,both
4,2,89803388,11538298,2,2,38841378,23683102,1,1,586,76,77,both
4,1,68681960,10281470,0,3,0,33674961,1,0,472,53,46,both
1,1,13527800,10495326,1,3,16523015,38043771,1,1,625,40,62,both
2,5,33511160,36642780,2,3,27704110,28809381,1,1,115,52,60,both
1,2,22492715,11690104,0,1,0,11513741,1,0,79,50,49,both
2,3,45441502,20271642,0,0,0,0,1,0,486,15,59,both
4,1,79164480,9042556,1,0,20971503,0,1,0,320,77,21,both
2,5,41792734,33754860,1,3,24653351,24927174,1,1,530,61,10,both
0,5,0,58383230,0,0,0,0,0,0,451,28,20,mobile
3,4,69041412,30146504,2,0,50867974,0,1,0,435,86,16,both
